[13-Dec-2017 13:56:20 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:381) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 13:59:00 UTC] PHP Parse error:  syntax error, unexpected 'new' (T_NEW) in D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php on line 372
[13-Dec-2017 13:59:00 UTC] PHP Parse error:  syntax error, unexpected 'new' (T_NEW) in D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php on line 372
[13-Dec-2017 14:00:01 UTC] PHP Parse error:  syntax error, unexpected ';' in D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php on line 349
[13-Dec-2017 14:00:13 UTC] PHP Parse error:  syntax error, unexpected ''tcx_slider_image2'' (T_CONSTANT_ENCAPSED_STRING) in D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php on line 350
[13-Dec-2017 14:02:34 UTC] PHP Parse error:  syntax error, unexpected 'new' (T_NEW) in D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php on line 379
[13-Dec-2017 14:03:17 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:388) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:04:19 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:388) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:05:18 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:388) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:06:18 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:388) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:07:19 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:388) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:08:18 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:388) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:08:38 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:09:03 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:09:39 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:10:39 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:11:39 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:12:39 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:13:39 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:14:09 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:14:09 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:14:09 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\async-upload.php on line 25
[13-Dec-2017 14:14:10 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:14:16 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:14:39 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:16:39 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:18:39 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:20:23 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:20:25 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:21:26 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:22:26 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 14:23:26 UTC] PHP Parse error:  syntax error, unexpected 'template_directory' (T_STRING), expecting ')' in D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php on line 347
[13-Dec-2017 14:23:54 UTC] PHP Parse error:  syntax error, unexpected 'template_directory' (T_STRING), expecting ')' in D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php on line 347
[13-Dec-2017 15:02:02 UTC] PHP Parse error:  syntax error, unexpected 'template_directory' (T_STRING), expecting ')' in D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php on line 347
[13-Dec-2017 15:02:29 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:03:10 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:04:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:04:26 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:05:11 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:06:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:08:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:10:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:12:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:14:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:16:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:18:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:20:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:22:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:24:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:26:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:28:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:30:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:32:13 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:34:14 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:36:14 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:38:14 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:40:14 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 15:42:14 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:406) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
